,id,title,runtime,original_language,budget,release_date,revenue,vote_average,popularity
0,119564,Million Dollar Legs,64.0,en,0,1932-07-08,0.0,5.0,0.617058
1,24881,Love Hurts,95.0,en,0,2009-11-13,0.0,5.3,1.994467
2,109,Three Colors: White,91.0,fr,0,1994-01-26,0.0,7.3,6.5898
3,158900,Faro,88.0,en,0,2013-03-15,0.0,5.5,0.126305
4,80662,Guilty of Romance,144.0,ja,0,2011-09-30,0.0,6.8,3.638912
5,940,The Lady Vanishes,96.0,en,0,1938-07-26,0.0,7.5,6.078088
6,13090,Sunshine Cleaning,102.0,en,5000000,2008-01-18,16174377.0,6.5,9.098119
7,199373,The Frozen Ground,105.0,en,27220000,2013-07-18,5496951.0,6.1,12.388833
8,287587,Adult Beginners,90.0,en,0,2014-09-08,108808.0,5.3,5.764184
9,241374,The Lady of Scandal,76.0,en,0,1930-05-24,0.0,6.0,0.055608
10,26357,To Trap a Spy,92.0,en,0,1964-01-01,0.0,8.0,0.898135
11,71031,Wound,76.0,en,0,2010-07-26,0.0,2.0,0.239349
12,18016,A Sister's Secret,86.0,en,0,2009-09-05,0.0,2.8,0.849344
13,287767,Mardaani,133.0,en,0,2014-08-22,0.0,7.0,1.139847
14,45261,(Untitled),96.0,en,0,2009-10-25,230600.0,6.6,4.976918
15,94533,The Badlanders,83.0,en,0,1958-09-03,0.0,6.1,1.97046
16,196024,The Keeper of Lost Causes,100.0,da,0,2013-10-03,0.0,7.0,7.721255
17,111457,Ella Cinders,75.0,en,0,1926-06-06,0.0,6.0,0.391616
18,15077,Election 2,92.0,en,0,2006-04-27,0.0,7.1,3.233724
19,323673,Just the Way You Are,0.0,en,0,2015-05-09,0.0,3.0,0.91541
20,24221,The Rebel,103.0,vi,1500000,2007-04-27,0.0,6.5,1.775833
21,226229,Mirage,92.0,en,0,1995-11-21,0.0,4.0,0.302957
22,778,Monsieur  Hulot's Holiday,84.0,fr,0,1953-02-26,0.0,7.3,4.328916
23,12655,I Went Down,97.0,en,0,1997-10-03,0.0,6.5,0.559621
24,102780,Byzantium,118.0,en,10000000,2012-09-09,89237.0,6.1,6.79497
25,107705,Byelorussian Station,101.0,ru,0,1971-04-30,0.0,7.1,0.289674
26,47099,Killer,80.0,en,0,1998-01-01,0.0,2.5,0.105725
27,1723,The Front,95.0,en,0,1976-09-17,0.0,6.2,2.81672
28,40790,Secret of the Incas,100.0,en,0,1954-06-06,0.0,5.1,0.657878
29,58156,Pure,100.0,sv,0,2009-10-22,0.0,6.5,2.667022
30,158011,The Call,94.0,en,13000000,2013-03-14,68572378.0,6.6,8.611077
31,16017,Prague,92.0,da,0,2006-11-03,0.0,6.7,2.466901
32,80890,The Great Gatsby,91.0,en,0,1949-07-13,0.0,5.8,0.213435
33,158238,Stolen Seas,90.0,en,0,2013-01-18,0.0,8.2,0.49248
34,38433,Bulldog Drummond Comes Back,64.0,en,0,1937-09-24,0.0,6.8,0.161802
35,58391,Three Wise Men,0.0,fi,0,2008-11-14,0.0,5.0,0.239772
36,43409,Traceless,90.0,fr,0,2010-03-10,0.0,5.6,1.426807
37,99879,Winter Nomads,90.0,fr,0,2012-02-10,0.0,8.0,0.199527
38,29478,A Raisin in the Sun,128.0,en,1500000,1961-05-28,0.0,7.1,2.501072
39,20646,Graveyard of Honor,131.0,ja,0,2002-06-22,0.0,6.5,1.955441
40,35304,Miss Sweden,92.0,sv,0,2004-03-09,0.0,5.5,0.739267
41,137587,Reilly: Ace of Spies,0.0,en,0,1983-09-05,0.0,6.8,0.034712
42,92780,"Aballay, the Man without Fear",100.0,es,0,2010-11-19,0.0,4.0,0.11542
43,188207,The Legend of Hercules,99.0,en,70000000,2014-01-10,61279452.0,4.4,6.599539
44,20246,The Stranger,96.0,en,0,1946-05-25,0.0,7.0,6.749799
45,16277,Skirt Day,88.0,fr,0,2008-11-09,0.0,7.2,6.675401
46,85231,The Lone Wolf Meets a Lady,71.0,en,0,1940-05-30,0.0,6.8,0.071784
47,18278,Perkins' 14,95.0,en,0,2009-01-09,0.0,4.8,1.18443
48,64454,The Hamburg Syndrome,117.0,de,0,1979-11-22,0.0,5.8,0.814198
49,99104,Bloodletting,89.0,en,10000,1997-01-01,0.0,5.0,0.072171
50,30576,Karlsson on the Roof,99.0,sv,0,1974-12-07,0.0,5.3,1.128245
51,19433,Revolution OS,85.0,en,0,2001-01-01,0.0,6.9,3.14531
52,244201,"Yes, My Darling Daughter",86.0,en,0,1939-02-25,0.0,6.0,1.324207
53,116762,Sallah,110.0,he,0,1964-01-01,0.0,7.4,0.728502
54,293091,When the Heavens Fell,100.0,fi,0,1972-03-10,0.0,5.0,0.036243
55,31855,Destined for Blues,101.0,pl,0,2005-08-01,0.0,7.9,1.173474
56,58250,The Bucks County Massacre,84.0,en,0,2010-12-01,0.0,3.5,0.077303
57,364067,A Very Murray Christmas,56.0,en,0,2015-12-04,0.0,5.2,6.007801
58,127505,Head Games,96.0,en,0,2012-09-21,14056.0,4.7,0.182227
59,32052,Go Tell the Spartans,114.0,en,1500000,1978-07-12,0.0,6.7,1.737092
60,20848,The White Sun of the Desert,83.0,ru,0,1970-03-30,0.0,7.5,3.501433
61,225577,Perry Mason: The Case of the Murdered Madam,95.0,en,0,1987-10-04,0.0,5.5,1.496166
62,66944,Seventy-Two Days,93.0,hr,0,2010-07-20,0.0,6.0,0.94711
63,60082,Sprung,105.0,en,0,1997-05-14,7553105.0,5.0,1.511388
64,204342,HK: Forbidden Super Hero,90.0,ja,0,2013-04-13,0.0,6.3,4.095284
65,97790,Prison of the Dead,73.0,en,0,2000-08-22,0.0,1.7,0.235143
66,10564,Where the Heart Is,120.0,en,15000000,2000-04-27,33771174.0,6.9,5.833133
67,23115,Long John Silver,106.0,en,0,1954-12-16,0.0,6.3,1.562051
68,293167,Kong: Skull Island,118.0,en,185000000,2017-03-08,566652812.0,6.2,29.429112
69,16919,Global Metal,93.0,en,0,2008-06-20,0.0,7.6,1.015014
70,239523,Hunter × Hunter: The Last Mission,97.0,ja,0,2013-12-27,0.0,5.8,1.771411
71,128190,The Pervert's Guide to Ideology,136.0,en,0,2012-09-07,0.0,7.2,1.556451
72,87462,Relentless,92.0,en,0,1989-08-30,0.0,6.0,0.349371
73,131957,Nina Takes a Lover,100.0,en,0,1995-03-03,0.0,7.4,0.769522
74,15696,A Canterbury Tale,124.0,en,0,1944-08-21,0.0,7.1,1.77798
75,52088,Intoxicating,103.0,en,0,2003-07-01,0.0,5.8,0.219621
76,10548,When We Were Kings,89.0,en,0,1996-10-25,2666118.0,7.3,3.60795
77,41006,A Good Man in Africa,94.0,en,0,1994-07-14,0.0,5.2,5.22583
78,35818,Les parasites,90.0,en,0,1999-01-20,0.0,7.4,0.367584
79,143355,The Battle of Sutjeska,117.0,bs,0,1973-07-31,0.0,5.0,1.00075
80,43337,Inauguration of the Pleasure Dome,38.0,en,0,1954-01-01,0.0,6.4,0.588972
81,159117,V/H/S/2,95.0,en,0,2013-06-06,21833.0,6.0,10.714779
82,24936,The Deep End,101.0,en,3000000,2001-01-21,0.0,6.0,2.541051
83,209269,Felony,105.0,en,0,2014-08-28,0.0,5.4,4.273751
84,47763,The Shrine,85.0,en,0,2010-10-14,0.0,5.8,16.544322
85,66953,"Who Are You, Polly Maggoo?",101.0,fr,0,1966-10-21,0.0,7.8,0.16663
86,779,Vampyr,73.0,de,0,1932-05-06,0.0,7.2,4.320771
87,9102,Screamers,108.0,en,20000000,1995-09-08,5781885.0,6.1,12.758848
88,21509,The Cook,85.0,en,210000,2008-04-01,0.0,3.8,0.618331
89,52817,Bitter Feast,105.0,en,0,2010-07-08,0.0,5.5,1.194121
90,15198,"Mystery, Alaska",119.0,en,28000000,1999-10-01,8888143.0,6.0,4.512767
91,12527,Strawberry and Chocolate,108.0,es,0,1993-01-01,0.0,7.1,1.777197
92,152795,The Congress,122.0,en,0,2013-05-16,455815.0,6.4,8.534039
93,10956,Joe Dirt,91.0,en,17700000,2001-04-10,30987695.0,5.5,10.442468
94,70772,Don't Look Under the Bed,100.0,en,0,1999-10-09,0.0,5.6,2.323756
95,290727,Monster High: Freaky Fusion,0.0,en,0,2014-10-06,0.0,6.7,2.742513
96,42346,The Last Days of Emma Blank,89.0,nl,0,2009-05-07,0.0,6.3,0.732102
97,15807,Air Force,124.0,en,0,1943-03-20,0.0,6.3,0.955413
98,79723,New Kids Nitro,78.0,nl,0,2011-12-07,0.0,5.9,2.73888
99,11249,Seed of Chucky,87.0,en,12000000,2004-11-11,24829644.0,4.9,15.216315
100,76287,Johnny 2.0,94.0,en,0,1998-09-12,0.0,7.5,0.270593
101,117790,Northern Light,85.0,nl,0,2006-04-20,0.0,6.0,0.038876
102,128089,Imagine,105.0,en,0,2012-04-12,0.0,7.3,2.110715
103,51092,The Organizer,130.0,it,0,1963-10-23,0.0,7.7,10.625787
104,4191,The Bride Wore Black,107.0,fr,747000,1968-03-22,44566.0,7.3,2.775402
105,34463,Three Little Pigs,8.0,en,15719,1933-05-27,0.0,6.8,3.969019
106,36741,School for Scoundrels,94.0,en,0,1960-03-24,0.0,6.6,1.332883
107,11673,Cyrano de Bergerac,137.0,fr,0,1990-03-28,0.0,6.8,5.0399
108,137669,To Boldly Flee,209.0,en,0,2012-10-20,0.0,6.6,0.709969
109,21571,Mithya,110.0,hi,0,2008-01-27,0.0,6.6,0.766631
110,147367,Slightly Single in L.A.,88.0,en,0,2013-09-03,0.0,4.2,1.792983
111,28055,Blood and Black Lace,88.0,it,0,1964-03-13,0.0,7.3,5.54191
112,210487,Człowiek z M-3,,pl,0,1969-02-20,0.0,7.0,0.162404
113,49314,Dominick and Eugene,111.0,en,0,1988-03-18,0.0,6.1,2.818797
114,107355,The Kidnapping Of The President,114.0,en,0,1980-08-15,0.0,5.0,0.035914
115,285024,Heaven Knows What,94.0,en,0,2015-05-29,0.0,6.5,2.351893
116,312221,Creed,133.0,en,37000000,2015-11-25,173567581.0,7.3,33.449723
117,56296,Deuce of Spades,0.0,en,25000,2010-06-01,0.0,5.3,0.455584
118,49431,My Gun Is Quick,90.0,en,0,1957-08-01,0.0,5.3,0.114334
119,50530,The New Year's Rate Plan,86.0,ru,3200000,2008-12-04,3877492.0,5.6,0.314167
120,52415,Crush and Blush,101.0,en,0,2008-10-16,0.0,5.7,0.954434
121,134012,The Zero Years,123.0,el,0,2005-11-25,0.0,9.3,0.283025
122,24285,Phileine Says Sorry,95.0,nl,4170000,2003-10-09,0.0,5.5,0.970785
123,10912,All Quiet on the Western Front,150.0,en,0,1979-11-14,0.0,5.9,9.234545
124,76726,Chronicle,84.0,en,15000000,2012-02-01,145000000.0,6.6,12.47441
125,210479,Locke,85.0,en,2000000,2014-04-10,4635300.0,6.9,12.792394
126,59843,Millionaires Express,94.0,cn,0,1986-01-30,0.0,6.1,1.761699
127,171846,Killers,137.0,ja,0,2014-02-01,0.0,6.8,2.129976
128,9962,The Good Girl,93.0,en,8000000,2002-01-12,16856124.0,6.1,4.388338
129,77931,The Smurfs 2,105.0,en,105000000,2013-07-30,347434178.0,5.5,10.640864
130,321697,Steve Jobs,122.0,en,30000000,2015-10-09,34441873.0,6.8,16.224866
131,339888,Tyke Elephant Outlaw,78.0,en,0,2015-06-04,0.0,8.0,0.248179
132,38376,Nathalie...,105.0,fr,0,2003-09-11,0.0,6.1,1.213791
133,192544,Naked Gun,69.0,en,0,1956-11-01,0.0,3.3,0.714471
134,277154,Admiral,128.0,nl,10000000,2015-01-29,0.0,6.4,9.92595
135,160139,Night Train to Lisbon,111.0,en,7700000,2013-03-07,0.0,6.4,6.976215
136,287284,Swung,87.0,en,0,2015-06-19,0.0,4.8,1.671062
137,61415,Meetin' WA,26.0,en,0,1986-04-23,0.0,5.2,0.006359
138,105843,"Goto, Island of Love",93.0,fr,0,1969-09-01,0.0,8.3,1.1084
139,84300,L,92.0,en,0,2012-01-23,0.0,4.2,0.267263
140,39130,Dinner at Eight,111.0,en,0,1933-08-29,0.0,6.5,1.633915
141,38052,Please Vote for Me,58.0,en,0,2007-01-01,0.0,7.0,0.171225
142,409421,Blame!,106.0,ru,0,2017-05-20,0.0,6.7,3.455833
143,26766,Slasher,85.0,en,0,2004-03-15,0.0,6.6,0.661724
144,403450,At War with Love,99.0,it,0,2016-10-27,0.0,7.8,4.310218
145,329637,Star Trek: Renegades,88.0,en,0,2015-08-01,0.0,4.4,3.02229
146,35227,Foolish Wives,117.0,en,1100000,1922-01-11,400200.0,6.4,0.838095
147,34977,Penthouse,88.0,en,0,1933-09-08,0.0,7.1,0.567585
148,52846,The Lady Is Willing,92.0,en,0,1942-02-17,0.0,4.5,0.286405
149,11838,Ju-on: The Grudge,92.0,ja,3500000,2002-10-18,0.0,6.7,7.614692
150,259300,009-1: The End of the Beginning,82.0,ja,0,2013-09-07,0.0,3.5,0.694855
151,65416,An American Vampire Story,99.0,en,0,1997-01-24,0.0,4.5,0.297741
152,9349,Universal Soldier,102.0,en,23000000,1992-07-10,0.0,5.8,8.035769
153,70530,A Chinese Ghost Story,100.0,zh,0,2011-04-21,0.0,5.5,0.820611
154,63943,West Is West,103.0,en,3837625,2010-10-19,3867000.0,6.3,0.749665
155,5955,The Pledge,123.0,en,35000000,2001-01-09,29400000.0,6.6,12.806634
156,44443,Lynch,84.0,en,0,2007-01-01,0.0,4.0,0.334601
157,21039,Rogue Trader,101.0,en,0,1999-01-01,0.0,6.0,3.280984
158,363810,The Leisure Class,81.0,en,3000000,2015-11-02,0.0,3.9,1.491134
159,10370,Premutos: Lord of the Living Dead,106.0,de,150000,1997-01-01,0.0,4.2,0.591754
160,17821,Crossworlds,90.0,en,0,1996-10-30,0.0,4.6,3.114883
161,165027,Light Gradient,75.0,de,0,2009-06-04,0.0,5.6,0.881727
162,347495,Inside The Dark Web,50.0,en,0,2014-09-03,0.0,8.0,0.092499
163,14113,Zoom,83.0,en,35000000,2006-08-11,12506188.0,4.9,11.967444
164,23943,Zapped!,98.0,en,0,1982-07-23,0.0,5.1,3.435989
165,39239,British Sounds,54.0,en,0,1970-01-01,0.0,6.7,0.027537
166,26971,Mediterranean Food,100.0,es,0,2009-02-06,0.0,5.7,0.635504
167,19543,Anacondas: Trail of Blood,89.0,en,0,2009-02-27,0.0,3.9,3.167031
168,29144,John Oliver: Terrifying Times,56.0,en,0,2008-04-20,0.0,7.5,1.019346
169,259894,A Sister's Revenge,90.0,en,0,2013-04-27,0.0,3.3,0.731394
170,57008,Alice in Murderland,90.0,en,0,2010-02-05,0.0,2.2,0.678476
171,214181,It's My Turn,91.0,en,0,1980-10-24,0.0,4.4,1.288694
172,22488,Love's Abiding Joy,87.0,en,0,2006-10-06,0.0,5.8,1.148336
173,16617,Mindhunters,106.0,en,27000000,2004-05-07,21148829.0,6.3,7.600017
174,54548,All You Need is Love,92.0,de,0,2009-11-03,0.0,8.3,0.567095
175,95578,Evel Knievel,91.0,en,0,2004-07-30,0.0,6.0,0.108909
176,266433,Ejecta,82.0,en,0,2014-09-24,0.0,3.6,1.860814
177,271706,Big Fish & Begonia,100.0,zh,4531653,2016-07-08,84552250.0,6.3,2.238595
178,18912,Angst,75.0,de,0,1983-01-01,0.0,7.2,4.705283
179,53870,10.5,165.0,en,20000000,2004-05-02,0.0,5.9,5.536166
180,89921,White Fire,84.0,en,0,1984-07-05,0.0,6.1,0.232757
