,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,tagline,title,vote_average,vote_count
0,90000,,29424,tt0069239,en,Hungry Wives,"A bored, unhappy suburban housewife gets mixed up in witchcraft and murder.",1.633103,1972-05-01,0.0,104.0,Released,Every Night is Halloween.,Hungry Wives,5.4,12.0
1,0,,56077,tt0120271,en,Talk of Angels,"This is the story of a young Irish woman who comes to Spain to escape from the pressures she feels about her impending marriage to a political activist in Ireland. But in Spain in the 1930's, taking a job of governess in a wealthy family, she finds the same kinds of political unrest. In fact, it isn't long before she finds herself attracted to a married man who is similarly involved in the struggle against fascism and Franco. This awakens her to her nature that brings her to such men and resolves for her what she must do about the life she left in Ireland",0.978989,1998-10-30,0.0,96.0,Released,,Talk of Angels,6.8,4.0
2,0,,145689,tt1025163,en,Atlantic Records: The House That Ahmet Built,"This American Masters episode showcases the wonderful influence of Ahmet Ertegun, the founder of Atlantic Records. Since the label's founding in 1947, some of the most popular Rhythm and Blues and Rock 'n' Roll artists have worked for Atlantic. Among them: first artist Ruth Brown, Big Joe Turner, Ray Charles, Bobby Darin, The Coasters, Aretha Franklin, The Rolling Stones, Phil Collins and many more. Also covered are many of the Atlantic crew like engineer Tom Dowd, producer Jerry Wexler, and songwriters Mike Lieber and Jerry Stoller.",0.167895,2007-05-02,0.0,90.0,Released,,Atlantic Records: The House That Ahmet Built,7.0,2.0
3,0,,336544,tt4172710,en,Princes of the Yen,Set in 20th Century Japan the documentary explores the role and power of Central Banks and how they can be used to change a country's economic political and social structures A documentary adaption off the book by Professor Richard Werner.,0.337719,2014-11-05,0.0,0.0,Released,"Only power that is hidden, is power that endures.",Princes of the Yen,9.0,1.0
4,0,,66487,tt0086377,en,Streamers,Four young recruits about to be sent to Vietnam confront their prejudicial feelings toward one another when it's learned one of them is homosexual.,0.225313,1983-01-01,0.0,118.0,Released,,Streamers,6.8,4.0
5,0,,43828,tt0031225,en,Destry Rides Again,"When a tough western town needs taming, the mild-mannered son of a hard-nosed sheriff gets the job.",5.507383,1939-11-30,0.0,94.0,Released,They make the fighting sinful west blaze into action before your eyes!,Destry Rides Again,6.9,39.0
6,0,,2010,tt1016205,ja,殯の森,"A caregiver at a small retirement home takes one of her patients for a drive to the country, but the two wind up stranded in a forest where they embark on an exhausting and enlightening two-day journey.",1.594746,2007-05-24,0.0,97.0,Released,,The Mourning Forest,6.2,13.0
7,0,,186747,tt2406676,en,Ek Thi Daayan,"Ek Thi Daayan movie is a supernatural musical entertaining romantic thriller with an electrifying jolt at the end.  The movie revolves around the character Bobo (Emraan Hashmi), an India's leading magician. But unknown to even his girlfriend Tamara, Bobo's life is falling apart. His constant hallucinations leave him with no option but to seek psychiatric help.  Going through regression hypnosis, a terrifying story about his childhood surfaces involving a sinister power called Daayan who has not only destroyed his family but also promised to return to haunt Bobo.  He chooses to ignore it and move on with his life. Just when his career and love life is at full throttle, enters the irresistible Lisa Dutt.  Bobo is convinced that she is the daayan. But is she, really? Or is he just losing his mind?",0.960239,2013-04-19,0.0,135.0,Released,Everything comes full circle.,Ek Thi Daayan,5.6,8.0
8,0,,187022,tt2852400,zh,天注定,Four independent stories set in modern China about random acts of violence.,6.303552,2013-10-04,154120.0,133.0,Released,,A Touch of Sin,7.3,83.0
9,0,,159810,tt0814042,it,Caravaggio,,0.973274,2007-07-03,0.0,0.0,Released,,Caravaggio,7.0,3.0
10,0,,43738,tt1426361,bg,Източни пиеси,"Two estranged brothers are brought together when they have opposite roles in a racist beating: while Georgi who's recently joined a neo-nazi group participates in the violence, Hristo witnesses and rescues a Turkish family. Georgi, now being asked to participate in larger events, starts to question his implication in the movement and Hristo wonders if the beautiful Turkish girl he saved could be his ticket out of his sad life in Sofia. Only by reuniting will the two brothers be able to assess what they really want from life.",1.1135,2009-10-16,0.0,83.0,Released,,Eastern Plays,6.4,8.0
11,0,,179057,tt0042790,en,No Sad Songs for Me,"Mary Scott learns she only has ten months to live before dying of an incurable disease. She manages to keep the news from her husband, Brad and daughter, Polly. She tries to make every moment of her life count, but her effort is weakened by the discovery that Brad is interested in his assistant, Chris Radner. But when she learns that Brad does indeed love her and not Chris, and that Chris is leaving town, she realizes what she must do to ensure the future happiness of Brad and Polly. She persuades Chris to stay, makes a genuine friend of her and watches Polly grow towards Chris.",0.418174,1950-04-27,0.0,88.0,Released,,No Sad Songs for Me,6.0,1.0
12,0,http://www.aynrandasenseoflife.com/asol.html,49645,tt0118662,en,Ayn Rand: A Sense of Life,"Ayn Rand was born in 1905 in St. Petersberg, Russia. She escaped to America in 1926 amidst the rise of Soviet Communism. She remained in the United States for the rest of her life, where she became a much respected author of The Fountainhead and Atlas Shrugged. The themes of freedom and individualism were to be her life's passion...",0.13785,1998-02-13,0.0,145.0,Released,A life more compelling than fiction.,Ayn Rand: A Sense of Life,7.2,3.0
